Commence Time,Sport Key,Home Team,Away Team,Bookmaker,Market,Outcome,Odds,Timestamp
2024-08-03 23:15:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,BetOnline.ag,h2h,Houston Astros,1.59,2024-08-02 12:01:57.923012
2024-08-03 23:15:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,LowVig.ag,h2h,Houston Astros,1.59,2024-08-02 12:01:57.923012
2024-08-04 01:07:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,BetOnline.ag,h2h,Los Angeles Dodgers,1.59,2024-08-02 12:01:57.923012
2024-08-04 01:07:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,LowVig.ag,h2h,Los Angeles Dodgers,1.59,2024-08-02 12:01:57.923012
2024-08-04 01:40:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,BetOnline.ag,h2h,Seattle Mariners,1.83,2024-08-02 12:01:57.923012
2024-08-04 01:40:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,LowVig.ag,h2h,Seattle Mariners,1.83,2024-08-02 12:01:57.923012
2024-08-02 18:21:00+00:00,baseball_mlb,Chicago Cubs,St. Louis Cardinals,FanDuel,spreads,Chicago Cubs,1.43,2024-08-02 12:01:59.072918
2024-08-02 18:21:00+00:00,baseball_mlb,Chicago Cubs,St. Louis Cardinals,BetMGM,h2h,Chicago Cubs,1.33,2024-08-02 12:01:59.072918
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,DraftKings,spreads,Pittsburgh Pirates,1.65,2024-08-02 12:01:59.072918
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,Caesars,spreads,Pittsburgh Pirates,1.65,2024-08-02 12:01:59.072918
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,BetMGM,h2h,Arizona Diamondbacks,1.71,2024-08-02 12:01:59.072918
2024-08-02 22:41:00+00:00,baseball_mlb,Detroit Tigers,Kansas City Royals,BetMGM,h2h,Detroit Tigers,1.83,2024-08-02 12:01:59.072918
2024-08-02 22:41:00+00:00,baseball_mlb,Detroit Tigers,Kansas City Royals,BetMGM,spreads,Kansas City Royals,1.4,2024-08-02 12:01:59.072918
2024-08-02 22:46:00+00:00,baseball_mlb,Washington Nationals,Milwaukee Brewers,BetRivers,spreads,Washington Nationals,1.56,2024-08-02 12:01:59.072918
2024-08-02 23:06:00+00:00,baseball_mlb,New York Yankees,Toronto Blue Jays,BetRivers,spreads,Toronto Blue Jays,1.61,2024-08-02 12:01:59.072918
2024-08-02 23:11:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,BetMGM,spreads,Cleveland Guardians,1.57,2024-08-02 12:01:59.072918
2024-08-02 23:11:00+00:00,baseball_mlb,Cincinnati Reds,San Francisco Giants,Caesars,h2h,San Francisco Giants,1.69,2024-08-02 12:01:59.072918
2024-08-02 23:11:00+00:00,baseball_mlb,Cincinnati Reds,San Francisco Giants,BetMGM,spreads,Cincinnati Reds,1.65,2024-08-02 12:01:59.072918
2024-08-02 23:21:00+00:00,baseball_mlb,Atlanta Braves,Miami Marlins,Caesars,h2h,Atlanta Braves,1.37,2024-08-02 12:01:59.072918
2024-08-02 23:21:00+00:00,baseball_mlb,Atlanta Braves,Miami Marlins,BetUS,spreads,Atlanta Braves,1.8,2024-08-02 12:01:59.072918
2024-08-03 00:06:00+00:00,baseball_mlb,Texas Rangers,Boston Red Sox,FanDuel,h2h,Boston Red Sox,1.86,2024-08-02 12:01:59.072918
2024-08-03 00:06:00+00:00,baseball_mlb,Texas Rangers,Boston Red Sox,BetMGM,spreads,Texas Rangers,1.54,2024-08-02 12:01:59.072918
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,FanDuel,h2h,Minnesota Twins,1.31,2024-08-02 12:01:59.072918
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Caesars,h2h,Minnesota Twins,1.31,2024-08-02 12:01:59.072918
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Caesars,spreads,Minnesota Twins,1.65,2024-08-02 12:01:59.072918
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Bovada,h2h,Minnesota Twins,1.31,2024-08-02 12:01:59.072918
2024-08-03 00:11:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,BetMGM,spreads,Tampa Bay Rays,1.57,2024-08-02 12:01:59.072918
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,Caesars,h2h,New York Mets,1.69,2024-08-02 12:01:59.072918
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,BetMGM,h2h,New York Mets,1.69,2024-08-02 12:01:59.072918
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,BetMGM,spreads,Los Angeles Angels,1.67,2024-08-02 12:01:59.072918
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,BetMGM,spreads,Colorado Rockies,1.69,2024-08-02 12:01:59.072918
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,BetRivers,h2h,San Diego Padres,1.51,2024-08-02 12:01:59.072918
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,Bovada,h2h,San Diego Padres,1.51,2024-08-02 12:01:59.072918
2024-08-03 01:41:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,BetUS,spreads,Oakland Athletics,1.71,2024-08-02 12:01:59.072918
2024-08-03 01:41:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,Bovada,spreads,Philadelphia Phillies,1.45,2024-08-02 12:01:59.072918
2024-08-03 17:05:00+00:00,baseball_mlb,New York Yankees,Toronto Blue Jays,FanDuel,h2h,New York Yankees,1.57,2024-08-02 12:01:59.072918
2024-08-03 20:05:00+00:00,baseball_mlb,Washington Nationals,Milwaukee Brewers,FanDuel,h2h,Milwaukee Brewers,1.75,2024-08-02 12:01:59.072918
2024-08-03 23:15:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,BetOnline.ag,h2h,Baltimore Orioles,1.77,2024-08-02 12:01:59.072918
2024-08-03 23:15:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,LowVig.ag,h2h,Baltimore Orioles,1.77,2024-08-02 12:01:59.072918
2024-08-03 23:15:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,BetOnline.ag,h2h,Houston Astros,1.59,2024-08-02 12:01:59.072918
2024-08-03 23:15:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,LowVig.ag,h2h,Houston Astros,1.59,2024-08-02 12:01:59.072918
2024-08-04 01:07:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,BetOnline.ag,h2h,Los Angeles Dodgers,1.59,2024-08-02 12:01:59.072918
2024-08-04 01:07:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,LowVig.ag,h2h,Los Angeles Dodgers,1.59,2024-08-02 12:01:59.072918
2024-08-04 01:40:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,BetOnline.ag,h2h,Seattle Mariners,1.83,2024-08-02 12:01:59.072918
2024-08-04 01:40:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,LowVig.ag,h2h,Seattle Mariners,1.83,2024-08-02 12:01:59.072918
2024-08-02 18:21:00+00:00,baseball_mlb,Chicago Cubs,St. Louis Cardinals,FanDuel,spreads,Chicago Cubs,1.43,2024-08-02 12:02:00.185743
2024-08-02 18:21:00+00:00,baseball_mlb,Chicago Cubs,St. Louis Cardinals,BetMGM,h2h,Chicago Cubs,1.33,2024-08-02 12:02:00.185743
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,DraftKings,spreads,Pittsburgh Pirates,1.65,2024-08-02 12:02:00.185743
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,Caesars,spreads,Pittsburgh Pirates,1.65,2024-08-02 12:02:00.185743
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,BetMGM,h2h,Arizona Diamondbacks,1.71,2024-08-02 12:02:00.185743
2024-08-02 22:41:00+00:00,baseball_mlb,Detroit Tigers,Kansas City Royals,BetMGM,h2h,Detroit Tigers,1.83,2024-08-02 12:02:00.185743
2024-08-02 22:41:00+00:00,baseball_mlb,Detroit Tigers,Kansas City Royals,BetMGM,spreads,Kansas City Royals,1.4,2024-08-02 12:02:00.185743
2024-08-02 22:46:00+00:00,baseball_mlb,Washington Nationals,Milwaukee Brewers,BetRivers,spreads,Washington Nationals,1.56,2024-08-02 12:02:00.185743
2024-08-02 23:06:00+00:00,baseball_mlb,New York Yankees,Toronto Blue Jays,BetRivers,spreads,Toronto Blue Jays,1.61,2024-08-02 12:02:00.185743
2024-08-02 23:11:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,BetMGM,spreads,Cleveland Guardians,1.57,2024-08-02 12:02:00.185743
2024-08-02 23:11:00+00:00,baseball_mlb,Cincinnati Reds,San Francisco Giants,Caesars,h2h,San Francisco Giants,1.69,2024-08-02 12:02:00.185743
2024-08-02 23:11:00+00:00,baseball_mlb,Cincinnati Reds,San Francisco Giants,BetMGM,spreads,Cincinnati Reds,1.65,2024-08-02 12:02:00.185743
2024-08-02 23:21:00+00:00,baseball_mlb,Atlanta Braves,Miami Marlins,Caesars,h2h,Atlanta Braves,1.37,2024-08-02 12:02:00.185743
2024-08-02 23:21:00+00:00,baseball_mlb,Atlanta Braves,Miami Marlins,BetUS,spreads,Atlanta Braves,1.8,2024-08-02 12:02:00.185743
2024-08-03 00:06:00+00:00,baseball_mlb,Texas Rangers,Boston Red Sox,FanDuel,h2h,Boston Red Sox,1.86,2024-08-02 12:02:00.185743
2024-08-03 00:06:00+00:00,baseball_mlb,Texas Rangers,Boston Red Sox,BetMGM,spreads,Texas Rangers,1.54,2024-08-02 12:02:00.185743
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,FanDuel,h2h,Minnesota Twins,1.31,2024-08-02 12:02:00.185743
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Caesars,h2h,Minnesota Twins,1.31,2024-08-02 12:02:00.185743
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Caesars,spreads,Minnesota Twins,1.65,2024-08-02 12:02:00.185743
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Bovada,h2h,Minnesota Twins,1.31,2024-08-02 12:02:00.185743
2024-08-03 00:11:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,BetMGM,spreads,Tampa Bay Rays,1.57,2024-08-02 12:02:00.185743
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,Caesars,h2h,New York Mets,1.69,2024-08-02 12:02:00.185743
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,BetMGM,h2h,New York Mets,1.69,2024-08-02 12:02:00.185743
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,BetMGM,spreads,Los Angeles Angels,1.67,2024-08-02 12:02:00.185743
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,BetMGM,spreads,Colorado Rockies,1.69,2024-08-02 12:02:00.185743
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,BetRivers,h2h,San Diego Padres,1.51,2024-08-02 12:02:00.185743
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,Bovada,h2h,San Diego Padres,1.51,2024-08-02 12:02:00.185743
2024-08-03 01:41:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,BetUS,spreads,Oakland Athletics,1.71,2024-08-02 12:02:00.185743
2024-08-03 01:41:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,Bovada,spreads,Philadelphia Phillies,1.45,2024-08-02 12:02:00.185743
2024-08-03 17:05:00+00:00,baseball_mlb,New York Yankees,Toronto Blue Jays,FanDuel,h2h,New York Yankees,1.57,2024-08-02 12:02:00.185743
2024-08-03 20:05:00+00:00,baseball_mlb,Washington Nationals,Milwaukee Brewers,FanDuel,h2h,Milwaukee Brewers,1.75,2024-08-02 12:02:00.185743
2024-08-03 23:15:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,BetOnline.ag,h2h,Baltimore Orioles,1.77,2024-08-02 12:02:00.185743
2024-08-03 23:15:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,LowVig.ag,h2h,Baltimore Orioles,1.77,2024-08-02 12:02:00.185743
2024-08-03 23:15:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,BetOnline.ag,h2h,Houston Astros,1.59,2024-08-02 12:02:00.185743
2024-08-03 23:15:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,LowVig.ag,h2h,Houston Astros,1.59,2024-08-02 12:02:00.185743
2024-08-04 01:07:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,BetOnline.ag,h2h,Los Angeles Dodgers,1.59,2024-08-02 12:02:00.185743
2024-08-04 01:07:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,LowVig.ag,h2h,Los Angeles Dodgers,1.59,2024-08-02 12:02:00.185743
2024-08-04 01:40:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,BetOnline.ag,h2h,Seattle Mariners,1.83,2024-08-02 12:02:00.185743
2024-08-04 01:40:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,LowVig.ag,h2h,Seattle Mariners,1.83,2024-08-02 12:02:00.185743
2024-08-02 18:21:00+00:00,baseball_mlb,Chicago Cubs,St. Louis Cardinals,FanDuel,spreads,Chicago Cubs,1.43,2024-08-02 12:02:01.273316
2024-08-02 18:21:00+00:00,baseball_mlb,Chicago Cubs,St. Louis Cardinals,BetMGM,h2h,Chicago Cubs,1.33,2024-08-02 12:02:01.273316
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,DraftKings,spreads,Pittsburgh Pirates,1.65,2024-08-02 12:02:01.273316
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,Caesars,spreads,Pittsburgh Pirates,1.65,2024-08-02 12:02:01.273316
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,BetMGM,h2h,Arizona Diamondbacks,1.71,2024-08-02 12:02:01.273316
2024-08-02 22:41:00+00:00,baseball_mlb,Detroit Tigers,Kansas City Royals,BetMGM,h2h,Detroit Tigers,1.83,2024-08-02 12:02:01.273316
2024-08-02 22:41:00+00:00,baseball_mlb,Detroit Tigers,Kansas City Royals,BetMGM,spreads,Kansas City Royals,1.4,2024-08-02 12:02:01.273316
2024-08-02 22:46:00+00:00,baseball_mlb,Washington Nationals,Milwaukee Brewers,BetRivers,spreads,Washington Nationals,1.56,2024-08-02 12:02:01.273316
2024-08-02 23:06:00+00:00,baseball_mlb,New York Yankees,Toronto Blue Jays,BetRivers,spreads,Toronto Blue Jays,1.61,2024-08-02 12:02:01.273316
2024-08-02 23:11:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,BetMGM,spreads,Cleveland Guardians,1.57,2024-08-02 12:02:01.273316
2024-08-02 23:11:00+00:00,baseball_mlb,Cincinnati Reds,San Francisco Giants,Caesars,h2h,San Francisco Giants,1.69,2024-08-02 12:02:01.273316
2024-08-02 23:11:00+00:00,baseball_mlb,Cincinnati Reds,San Francisco Giants,BetMGM,spreads,Cincinnati Reds,1.65,2024-08-02 12:02:01.273316
2024-08-02 23:21:00+00:00,baseball_mlb,Atlanta Braves,Miami Marlins,Caesars,h2h,Atlanta Braves,1.37,2024-08-02 12:02:01.273316
2024-08-02 23:21:00+00:00,baseball_mlb,Atlanta Braves,Miami Marlins,BetUS,spreads,Atlanta Braves,1.8,2024-08-02 12:02:01.273316
2024-08-03 00:06:00+00:00,baseball_mlb,Texas Rangers,Boston Red Sox,FanDuel,h2h,Boston Red Sox,1.86,2024-08-02 12:02:01.273316
2024-08-03 00:06:00+00:00,baseball_mlb,Texas Rangers,Boston Red Sox,BetMGM,spreads,Texas Rangers,1.54,2024-08-02 12:02:01.273316
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,FanDuel,h2h,Minnesota Twins,1.31,2024-08-02 12:02:01.273316
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Caesars,h2h,Minnesota Twins,1.31,2024-08-02 12:02:01.273316
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Caesars,spreads,Minnesota Twins,1.65,2024-08-02 12:02:01.273316
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Bovada,h2h,Minnesota Twins,1.31,2024-08-02 12:02:01.273316
2024-08-03 00:11:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,BetMGM,spreads,Tampa Bay Rays,1.57,2024-08-02 12:02:01.273316
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,Caesars,h2h,New York Mets,1.69,2024-08-02 12:02:01.273316
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,BetMGM,h2h,New York Mets,1.69,2024-08-02 12:02:01.273316
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,BetMGM,spreads,Los Angeles Angels,1.67,2024-08-02 12:02:01.273316
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,BetMGM,spreads,Colorado Rockies,1.69,2024-08-02 12:02:01.273316
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,BetRivers,h2h,San Diego Padres,1.51,2024-08-02 12:02:01.273316
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,Bovada,h2h,San Diego Padres,1.51,2024-08-02 12:02:01.273316
2024-08-03 01:41:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,BetUS,spreads,Oakland Athletics,1.71,2024-08-02 12:02:01.273316
2024-08-03 01:41:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,Bovada,spreads,Philadelphia Phillies,1.45,2024-08-02 12:02:01.273316
2024-08-03 17:05:00+00:00,baseball_mlb,New York Yankees,Toronto Blue Jays,FanDuel,h2h,New York Yankees,1.57,2024-08-02 12:02:01.273316
2024-08-03 20:05:00+00:00,baseball_mlb,Washington Nationals,Milwaukee Brewers,FanDuel,h2h,Milwaukee Brewers,1.75,2024-08-02 12:02:01.273316
2024-08-03 23:15:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,BetOnline.ag,h2h,Baltimore Orioles,1.77,2024-08-02 12:02:01.273316
2024-08-03 23:15:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,LowVig.ag,h2h,Baltimore Orioles,1.77,2024-08-02 12:02:01.273316
2024-08-03 23:15:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,BetOnline.ag,h2h,Houston Astros,1.59,2024-08-02 12:02:01.273316
2024-08-03 23:15:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,LowVig.ag,h2h,Houston Astros,1.59,2024-08-02 12:02:01.273316
2024-08-04 01:07:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,BetOnline.ag,h2h,Los Angeles Dodgers,1.59,2024-08-02 12:02:01.273316
2024-08-04 01:07:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,LowVig.ag,h2h,Los Angeles Dodgers,1.59,2024-08-02 12:02:01.273316
2024-08-04 01:40:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,BetOnline.ag,h2h,Seattle Mariners,1.83,2024-08-02 12:02:01.273316
2024-08-04 01:40:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,LowVig.ag,h2h,Seattle Mariners,1.83,2024-08-02 12:02:01.273316
2024-08-02 18:21:00+00:00,baseball_mlb,Chicago Cubs,St. Louis Cardinals,FanDuel,spreads,Chicago Cubs,1.43,2024-08-02 12:02:02.327977
2024-08-02 18:21:00+00:00,baseball_mlb,Chicago Cubs,St. Louis Cardinals,BetMGM,h2h,Chicago Cubs,1.33,2024-08-02 12:02:02.327977
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,DraftKings,spreads,Pittsburgh Pirates,1.65,2024-08-02 12:02:02.327977
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,Caesars,spreads,Pittsburgh Pirates,1.65,2024-08-02 12:02:02.327977
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,BetMGM,h2h,Arizona Diamondbacks,1.71,2024-08-02 12:02:02.327977
2024-08-02 22:41:00+00:00,baseball_mlb,Detroit Tigers,Kansas City Royals,BetMGM,h2h,Detroit Tigers,1.83,2024-08-02 12:02:02.327977
2024-08-02 22:41:00+00:00,baseball_mlb,Detroit Tigers,Kansas City Royals,BetMGM,spreads,Kansas City Royals,1.4,2024-08-02 12:02:02.327977
2024-08-02 22:46:00+00:00,baseball_mlb,Washington Nationals,Milwaukee Brewers,BetRivers,spreads,Washington Nationals,1.56,2024-08-02 12:02:02.327977
2024-08-02 23:06:00+00:00,baseball_mlb,New York Yankees,Toronto Blue Jays,BetRivers,spreads,Toronto Blue Jays,1.61,2024-08-02 12:02:02.327977
2024-08-02 23:11:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,BetMGM,spreads,Cleveland Guardians,1.57,2024-08-02 12:02:02.327977
2024-08-02 23:11:00+00:00,baseball_mlb,Cincinnati Reds,San Francisco Giants,Caesars,h2h,San Francisco Giants,1.69,2024-08-02 12:02:02.327977
2024-08-02 23:11:00+00:00,baseball_mlb,Cincinnati Reds,San Francisco Giants,BetMGM,spreads,Cincinnati Reds,1.65,2024-08-02 12:02:02.327977
2024-08-02 23:21:00+00:00,baseball_mlb,Atlanta Braves,Miami Marlins,Caesars,h2h,Atlanta Braves,1.37,2024-08-02 12:02:02.327977
2024-08-02 23:21:00+00:00,baseball_mlb,Atlanta Braves,Miami Marlins,BetUS,spreads,Atlanta Braves,1.8,2024-08-02 12:02:02.327977
2024-08-03 00:06:00+00:00,baseball_mlb,Texas Rangers,Boston Red Sox,FanDuel,h2h,Boston Red Sox,1.86,2024-08-02 12:02:02.327977
2024-08-03 00:06:00+00:00,baseball_mlb,Texas Rangers,Boston Red Sox,BetMGM,spreads,Texas Rangers,1.54,2024-08-02 12:02:02.327977
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,FanDuel,h2h,Minnesota Twins,1.31,2024-08-02 12:02:02.327977
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Caesars,h2h,Minnesota Twins,1.31,2024-08-02 12:02:02.327977
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Caesars,spreads,Minnesota Twins,1.65,2024-08-02 12:02:02.327977
2024-08-03 00:11:00+00:00,baseball_mlb,Minnesota Twins,Chicago White Sox,Bovada,h2h,Minnesota Twins,1.31,2024-08-02 12:02:02.327977
2024-08-03 00:11:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,BetMGM,spreads,Tampa Bay Rays,1.57,2024-08-02 12:02:02.327977
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,Caesars,h2h,New York Mets,1.69,2024-08-02 12:02:02.327977
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,BetMGM,h2h,New York Mets,1.69,2024-08-02 12:02:02.327977
2024-08-03 01:39:00+00:00,baseball_mlb,Los Angeles Angels,New York Mets,BetMGM,spreads,Los Angeles Angels,1.67,2024-08-02 12:02:02.327977
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,BetMGM,spreads,Colorado Rockies,1.69,2024-08-02 12:02:02.327977
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,BetRivers,h2h,San Diego Padres,1.51,2024-08-02 12:02:02.327977
2024-08-03 01:41:00+00:00,baseball_mlb,San Diego Padres,Colorado Rockies,Bovada,h2h,San Diego Padres,1.51,2024-08-02 12:02:02.327977
2024-08-03 01:41:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,BetUS,spreads,Oakland Athletics,1.71,2024-08-02 12:02:02.327977
2024-08-03 01:41:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,Bovada,spreads,Philadelphia Phillies,1.45,2024-08-02 12:02:02.327977
2024-08-03 17:05:00+00:00,baseball_mlb,New York Yankees,Toronto Blue Jays,FanDuel,h2h,New York Yankees,1.57,2024-08-02 12:02:02.327977
2024-08-03 20:05:00+00:00,baseball_mlb,Washington Nationals,Milwaukee Brewers,FanDuel,h2h,Milwaukee Brewers,1.75,2024-08-02 12:02:02.327977
2024-08-03 23:15:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,BetOnline.ag,h2h,Baltimore Orioles,1.77,2024-08-02 12:02:02.327977
2024-08-03 23:15:00+00:00,baseball_mlb,Cleveland Guardians,Baltimore Orioles,LowVig.ag,h2h,Baltimore Orioles,1.77,2024-08-02 12:02:02.327977
2024-08-03 23:15:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,BetOnline.ag,h2h,Houston Astros,1.59,2024-08-02 12:02:02.327977
2024-08-03 23:15:00+00:00,baseball_mlb,Houston Astros,Tampa Bay Rays,LowVig.ag,h2h,Houston Astros,1.59,2024-08-02 12:02:02.327977
2024-08-04 01:07:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,BetOnline.ag,h2h,Los Angeles Dodgers,1.59,2024-08-02 12:02:02.327977
2024-08-04 01:07:00+00:00,baseball_mlb,Oakland Athletics,Los Angeles Dodgers,LowVig.ag,h2h,Los Angeles Dodgers,1.59,2024-08-02 12:02:02.327977
2024-08-04 01:40:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,BetOnline.ag,h2h,Seattle Mariners,1.83,2024-08-02 12:02:02.327977
2024-08-04 01:40:00+00:00,baseball_mlb,Seattle Mariners,Philadelphia Phillies,LowVig.ag,h2h,Seattle Mariners,1.83,2024-08-02 12:02:02.327977
2024-08-02 18:21:00+00:00,baseball_mlb,Chicago Cubs,St. Louis Cardinals,FanDuel,spreads,Chicago Cubs,1.43,2024-08-02 12:02:03.423070
2024-08-02 18:21:00+00:00,baseball_mlb,Chicago Cubs,St. Louis Cardinals,BetMGM,h2h,Chicago Cubs,1.33,2024-08-02 12:02:03.423070
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,DraftKings,spreads,Pittsburgh Pirates,1.65,2024-08-02 12:02:03.423070
2024-08-02 22:41:00+00:00,baseball_mlb,Pittsburgh Pirates,Arizona Diamondbacks,Caesars,spreads,Pittsburgh Pirates,1.65,2024-08-02 12:02:03.423070
